year,ndvi_mean
2014,0.7022023442597097
2015,0.6998301301802992
2016,0.6916122202882908
2017,0.6985560768698856
2018,0.6961648047455985
2019,0.6748946563759749
2020,0.6946619926888442
2021,0.7210905095658595
2022,0.7079811805220463
2023,0.6959597006309023
2024,0.7069404985354858
