date,ndvi_mean,count_images
2014-01,0.6303158243115699,4
2014-02,0.7367502966196329,4
2014-03,0.7515637752539606,4
2014-04,0.7550055429654636,2
2014-05,0.737770953284135,4
2014-06,0.7563276326699325,4
2014-07,0.7196557870435003,4
2014-08,0.709722559478187,4
2014-09,0.6265067480108756,4
2014-10,0.6346321754348663,4
2014-11,0.6407162456862131,4
2014-12,0.5355622854628048,4
2015-01,0.7065940989772556,4
2015-02,0.7014603049151173,2
2015-03,0.7496277118939819,4
2015-04,0.7448698152457736,4
2015-05,0.7002377257393244,4
2015-06,0.7408906927780826,4
2015-07,0.7043841226968747,4
2015-08,0.6938176112839687,4
2015-09,0.6481837106554367,4
2015-10,0.6035910428601922,4
2015-11,0.6104852539332258,4
2015-12,0.5989268996237956,4
2016-01,0.7602830904397071,3
2016-02,0.6832299966145269,2
2016-03,0.5992673204471091,4
2016-04,0.7291510467918577,4
2016-05,0.7310948378663426,4
2016-06,0.7053765524457851,4
2016-07,0.6875136047475852,4
2016-08,0.6733404851246119,4
2016-09,0.6739095953428101,4
2016-10,0.6250234166405009,4
2016-11,0.6529997283943434,4
2016-12,0.6381207322163878,2
2017-01,0.6094789099415239,4
2017-02,0.6701974486431957,4
2017-03,,3
2017-04,0.7375399994358959,4
2017-05,0.7436587092309623,4
2017-06,0.6729713388932431,4
2017-07,0.7263588462784581,4
2017-08,0.6499439992348454,4
2017-09,0.6713904193503518,4
2017-10,0.6494075148959748,2
2017-11,0.6593240621872817,4
2017-12,0.6266623775667609,3
2018-01,,4
2018-02,0.6739994793243271,4
2018-03,0.6529536559067374,4
2018-04,0.7599385893761073,4
2018-05,0.7230031324556057,4
2018-06,0.7358606141068471,4
2018-07,0.6790368569122361,4
2018-08,0.7087317778584333,2
2018-09,0.6890743153532384,4
2018-10,0.6504557779952794,4
2018-11,0.6651430305424898,4
2018-12,0.5948969787760094,4
2019-01,0.6739849047098229,2
2019-02,0.6707113100662513,4
2019-03,0.67345558016967,4
2019-04,0.7425130140912546,4
2019-05,0.747319245698337,4
2019-06,0.7411760447246172,2
2019-07,0.7031879038450449,4
2019-08,0.6752134580191085,4
2019-09,0.6533062049698024,4
2019-10,0.6145860115485615,4
2019-11,0.6261593383820152,4
2019-12,0.6215767789820095,4
2020-01,0.6550839088319074,2
2020-02,0.5350974065341711,3
2020-03,0.681999633302027,4
2020-04,0.7158121263948425,2
2020-05,0.732758145512339,4
2020-06,0.7236596066896429,4
2020-07,0.7016126942544637,4
2020-08,0.6678676014511342,4
2020-09,0.6513406327715413,4
2020-10,0.6374188384076254,4
2020-11,,2
2020-12,0.6265347238521507,4
2021-01,0.6598455425666203,2
2021-02,0.6923565342095397,2
2021-03,0.6433517600904405,4
2021-04,0.7325293274930138,4
2021-05,0.7615713120897688,4
2021-06,0.7453039516496324,4
2021-07,0.722489990323459,4
2021-08,0.719723541134768,4
2021-09,0.6441299462351666,4
2021-10,0.6462534177203662,4
2021-11,0.5830361353726353,4
2021-12,0.6595663222931542,8
2022-01,0.680866411039289,7
2022-02,0.7201117199904724,5
2022-03,0.7143320881906644,8
2022-04,0.7227032026029052,8
2022-05,0.7441741637699393,8
2022-06,0.7315952542702244,6
2022-07,0.7162448132441531,8
2022-08,0.6900640739986804,8
2022-09,0.6726063180113456,8
2022-10,0.66981543639516,8
2022-11,0.6551680510415377,6
2022-12,0.6077108956951955,8
2023-01,0.6756832305713847,6
2023-02,0.7046818011950937,6
2023-03,0.7236042948675638,7
2023-04,0.7303551527082517,6
2023-05,0.7599162415253988,8
2023-06,0.7076048992309154,8
2023-07,0.7297949423278253,8
2023-08,0.7050540386855982,8
2023-09,0.6739272239783095,6
2023-10,0.6082860948012668,8
2023-11,0.6403035143930577,7
2023-12,0.6548906316999445,7
2024-01,0.6760906800525731,7
2024-02,0.6989665274749011,5
2024-03,0.7331815390639735,8
2024-04,0.7436137877624636,8
2024-05,0.7655220195057649,8
2024-06,0.7486590223228844,8
2024-07,0.7180183897198711,8
2024-08,0.6988920906812182,6
2024-09,0.6896734457540437,8
2024-10,0.6567724245718424,8
2024-11,0.6526852544968127,8
2024-12,0.6203027036519463,8
