date,ndvi_mean,count_images
2014-01,0.4455904079176845,4
2014-02,0.5605204239937178,4
2014-03,0.5721785226112744,4
2014-04,0.5307059718133706,2
2014-05,0.45536065150252014,4
2014-06,0.4293144944928338,4
2014-07,0.3835238595397199,4
2014-08,0.35356822549964384,4
2014-09,0.325716728127645,4
2014-10,0.3216630149660382,4
2014-11,0.3282160545434012,4
2014-12,0.33663885325539145,4
2015-01,0.475088382368681,4
2015-02,0.5463469120354426,2
2015-03,0.5572888547997263,4
2015-04,0.5313277102671332,4
2015-05,0.4508066819035832,4
2015-06,0.40759095754467256,4
2015-07,0.35889997167206084,4
2015-08,0.3426468629249402,4
2015-09,0.3277658078384222,4
2015-10,0.3176508698274739,4
2015-11,0.3164444109032795,4
2015-12,0.47673755447147825,4
2016-01,0.6531734876011115,3
2016-02,0.47863166879069485,2
2016-03,0.48876793987755424,4
2016-04,0.5038419824314935,4
2016-05,0.4549406501640098,4
2016-06,0.32642052371988184,4
2016-07,0.3360202727812559,4
2016-08,0.3104708999079467,4
2016-09,0.3139961584840544,4
2016-10,0.3701087091914344,4
2016-11,0.44735910727988465,4
2016-12,0.4172572993802597,2
2017-01,0.4787808596620712,4
2017-02,0.4251114998104512,4
2017-03,,3
2017-04,0.5427762336013165,4
2017-05,0.47752029965504045,4
2017-06,0.33886776353010445,4
2017-07,0.3803142700059043,4
2017-08,0.33825447511783424,4
2017-09,0.3424380028796516,4
2017-10,0.3518161882493854,2
2017-11,0.37799090999838564,4
2017-12,0.49784125191124545,3
2018-01,,4
2018-02,0.4854522833606901,4
2018-03,0.5276004822235842,4
2018-04,0.5145577350185374,4
2018-05,0.4268669864807709,4
2018-06,0.3817525138970482,4
2018-07,0.3452624204775348,4
2018-08,0.3569694204267247,2
2018-09,0.3421015480506581,4
2018-10,0.32979775745922674,4
2018-11,0.33594483797416225,4
2018-12,0.3519139966134609,4
2019-01,0.4150588885275477,2
2019-02,0.587859709633969,4
2019-03,0.5652354558741937,4
2019-04,0.5198704649937428,4
2019-05,0.4536053685713272,4
2019-06,0.40641154211038816,2
2019-07,0.3611775136112778,4
2019-08,0.3340463493870625,4
2019-09,0.3218753068799482,4
2019-10,0.31060717281625005,4
2019-11,0.3150895245233749,4
2019-12,0.30968298147549034,4
2020-01,0.4487194222155997,2
2020-02,0.38844347457760386,3
2020-03,0.5024264419088105,4
2020-04,0.5348586804143478,2
2020-05,0.482978620012607,4
2020-06,0.40872982127388563,4
2020-07,0.36986370206278835,4
2020-08,0.34295002049248047,4
2020-09,0.3321505148631846,4
2020-10,0.33861817738363825,4
2020-11,,2
2020-12,0.4345052372549609,4
2021-01,0.45691712788157185,2
2021-02,0.5366149653812744,2
2021-03,0.5270498574254937,4
2021-04,0.5095967743540708,4
2021-05,0.4884662503215235,4
2021-06,0.4277463451985778,4
2021-07,0.37775625087251014,4
2021-08,0.3610138556862556,4
2021-09,0.33465793938596156,4
2021-10,0.3523004625894526,4
2021-11,0.36197830651005325,4
2021-12,0.4098938120007756,8
2022-01,0.41151355856290256,7
2022-02,0.48942545869099585,5
2022-03,0.5275182108387443,8
2022-04,0.5343648788189407,8
2022-05,0.4684595885517322,8
2022-06,0.37637298420175597,6
2022-07,0.36295787160426,8
2022-08,0.33897190591650866,8
2022-09,0.33030161401059616,8
2022-10,0.3381576260190181,8
2022-11,0.35260383697279596,6
2022-12,0.38695922818627543,8
2023-01,0.4505918723082348,6
2023-02,0.5131612488105382,6
2023-03,0.43908088716860255,7
2023-04,0.5602315109965423,6
2023-05,0.46338699679185513,8
2023-06,0.3955586728431276,8
2023-07,0.37518514202692804,8
2023-08,0.3579731434057625,8
2023-09,0.3411601630781839,6
2023-10,0.33286874870487315,8
2023-11,0.3304058547603144,7
2023-12,0.38124204826728647,7
2024-01,0.4548144575805384,7
2024-02,0.4818670962306023,5
2024-03,0.5581891482679934,8
2024-04,0.4593024844809809,8
2024-05,0.4898591243227462,8
2024-06,0.4226234115329986,8
2024-07,0.38377652182250266,8
2024-08,0.3638196156016218,6
2024-09,0.35715430610172433,8
2024-10,0.3421773700938793,8
2024-11,0.3376664198214743,8
2024-12,0.4170454669512379,8
